TaxYear,Total_Lost_General,Total_Lost_Fire,Total_Lost_Road,Total_Lost_Township
2014,0,0,0,0
2015,0,0,0,0
2016,0,0,0,0
2017,0,0,0,0
2018,578.13,4754.367680999999,1447.8109590000001,6780.308639999999
2019,2681.25,22049.795625,4888.093084,29619.138709
2020,4051.59,33319.060682999996,1457.7279870000002,38828.37867
2021,10367.02,85255.26237399998,15898.248034,111520.53040799999
2022,8176.37,67240.01396899999,10412.203239,85828.58720799998
2023,17938.72,147522.65166399998,11798.032773,177259.404437
2024,13060.84,107408.42990799998,352.53031100000004,120821.80021899997
